n  |dist(asec)|prob. |     link ref      |     link      |        identifier       |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
66 |  39033.41|   100|2005ApJ...634.1385M|B              |HD 98800B                |SB*|170.522033 -24.777514      |     ~|     ~|10.06 |     ~|     ~|~              |  90|   1
67 |  14339.84|   100|2005ApJ...634.1385M|B              |CD-34 7390               |** |170.32183 -34.77931        |     ~|     ~|11.080|     ~| 9.038|M1Ve+M1Ve      |  52|   0
68 |  73347.17|   100|2010A&A...520A..15M|B              |TWA 20                   |Ro*|187.90862 -45.98317        |     ~|14.10 |13.240|     ~|10.682|M2             |  39|   0
69 |  70753.93|    51|2015ApJ...798...73G|B              |UCAC3 150-132524         |PM*|163.595975 -15.118961      |     ~|18.08 |16.31 |16.18 |     ~|~              |   3|   0
70 |  69682.45|   100|1999ApJ...512L..63W|B              |HD 109573B               |*  |189.002312 -39.871025      |     ~|     ~|13.3  |     ~|10.78 |M2.5           |  69|   0
71 |  27905.85|    93|2015ApJ...798...73G|B              |2MASS J11112984-2713320  |PM*|167.874350 -27.225558      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
72 |  49761.47|    46|2015ApJ...798...73G|B              |2MASS J10380178-2154225  |*  |159.507429 -21.906267      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
73 |  35243.67|   100|2010A&A...520A..15M|B              |CD-36 7429A              |TT*|177.1009279 -37.4803094    |     ~|12.54 |11.17 |10.92 | 9.552|K5V            |  95|   0
74 |  16202.60|    12|2015ApJ...798...73G|B              |2MASS J10443052-3730554  |*  |161.127208 -37.515397      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
75 |  22223.14|   100|2005ApJ...634.1385M|B              |CD-33 7795               |TT*|172.9802404 -34.6075686    |     ~|12.97 |11.524|11.150| 9.150|M2Ve           | 149|   0
76 |     30.94|   100|2010A&A...520A..15M|B              |V* TW Hya                |TT*|165.4662717 -34.7047314    |     ~|11.94 |10.50 |10.626| 9.18 |K6Ve           |1204|   1
77 |  14342.36|   100|2010A&A...520A..15M|B              |CD-34 7390B              |TT*|170.322692 -34.780508      |     ~|13.43 |11.96 |11.31 | 9.88 |M1Ve           |  53|   0
78 |  14339.58|   100|2014ApJ...788...81M|B              |CD-34 7390A              |TT*|170.321746 -34.779297      |     ~|12.88 |11.46 |11.43 | 9.57 |M1Ve           |  74|   0
79 |  27911.28|   100|2014ApJ...788...81M|B              |TWA 30                   |Y*O|173.076308 -30.331069      |     ~|15.82 |14.20 |14.44 |11.30 |M5V            |  45|   0
